canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning
yildiz,yildiz konutlari | yildiz sitesi,2,19,"{""yildiz konutlari"": 58581.615000000005, ""yildiz sitesi"": 28476.19}",30105.425000000007,possible_bad_merge
yuvam_akarca,izmit yuvam akarca konutlari | yuvam akarca evleri | yuvam izmit akarca evleri,3,12,"{""yuvam izmit akarca evleri"": 39409.525, ""yuvam akarca evleri"": 36956.52, ""izmit yuvam akarca konutlari"": 38695.65}",2453.0050000000047,
kavanium_833_ada,kavanium 833 ada,1,12,"{""kavanium 833 ada"": 54582.555}",0.0,
kentsa,kentsa sitesi,1,4,"{""kentsa sitesi"": 64423.08}",0.0,
eskidjiden_iztop_park,eskidjiden izmit iztop park,1,1,"{""eskidjiden izmit iztop park"": 51923.08}",0.0,
vadi,basiskele vadi | vadi izmit | vadi izmit sitesi | vadi residence,4,16,"{""vadi izmit"": 36032.39, ""vadi residence"": 52000.0, ""vadi izmit sitesi"": 32941.81, ""basiskele vadi"": 41842.11}",19058.190000000002,possible_bad_merge
kavanium_evleri_819_ada,kavanium izmit evleri 819 ada,1,2,"{""kavanium izmit evleri 819 ada"": 53621.795}",0.0,
kavanium_832_ada,kavanium 832 ada,1,4,"{""kavanium 832 ada"": 51125.0}",0.0,
iztop_park,iztop park evleri,1,5,"{""iztop park evleri"": 48993.29}",0.0,
green_hill_city,green hill city,1,4,"{""green hill city"": 50261.495}",0.0,
myra_3,myra-3 sitesi,1,1,"{""myra-3 sitesi"": 51866.67}",0.0,
jasmine_country,jasmine country | jasmine country sitesi,2,13,"{""jasmine country sitesi"": 39884.44, ""jasmine country"": 38135.59}",1748.8500000000058,
cepni_corner_park,cepni corner park,1,1,"{""cepni corner park"": 49500.0}",0.0,
akarca,yeni akarca konutlari,1,1,"{""yeni akarca konutlari"": 38266.67}",0.0,
alikahya_ve_dumlupinar_sinirinda,alikahya ve dumlupinar sinirinda site,1,1,"{""alikahya ve dumlupinar sinirinda site"": 59090.91}",0.0,
yuvam_garden,yuvam garden sitesi,1,4,"{""yuvam garden sitesi"": 33127.35}",0.0,
iztop_park_evleri_831_ada,iztop park evleri 831 ada,1,3,"{""iztop park evleri 831 ada"": 48387.1}",0.0,
terrace_yahyakaptan,terrace yahyakaptan,1,4,"{""terrace yahyakaptan"": 57987.905}",0.0,
up_town_evleri_2,up town evleri 2. etap,1,1,"{""up town evleri 2. etap"": 40606.06}",0.0,
up_town_evleri_1,up town evleri 1. etap,1,2,"{""up town evleri 1. etap"": 42896.55}",0.0,
ten_yuvam_akarca,ten yuvam akarca konutlari,1,1,"{""ten yuvam akarca konutlari"": 36666.67}",0.0,
muasir_kent,muasir kent sitesi,1,1,"{""muasir kent sitesi"": 58333.33}",0.0,
myra_sitesi_3,myra sitesi 3,1,6,"{""myra sitesi 3"": 48203.705}",0.0,
jasmin_country,jasmin country,1,2,"{""jasmin country"": 44502.84}",0.0,
kartanesi,kartanesi sitesi,1,1,"{""kartanesi sitesi"": 39909.09}",0.0,
kavanium,izmit kavanium sit | izmit kavanium sitesi | kavanium,3,12,"{""izmit kavanium sit"": 55486.11, ""kavanium"": 43333.33, ""izmit kavanium sitesi"": 48621.055}",12152.779999999999,possible_bad_merge
ekol_den_karadenizliler_mah_hls_yapi_da,ekol'den karadenizliler mah./hls yapi' da site,1,1,"{""ekol'den karadenizliler mah./hls yapi' da site"": 40761.9}",0.0,
humeyra_park,humeyra park evleri | humeyra park evleri sitesi,2,5,"{""humeyra park evleri"": 50833.33, ""humeyra park evleri sitesi"": 44025.645000000004}",6807.684999999998,
sehir_hastanesi_karsisi_sarkent,izmit sehir hastanesi karsisi sarkent evleri,1,1,"{""izmit sehir hastanesi karsisi sarkent evleri"": 41818.18}",0.0,
remax_dream_den_80_kredi_eminevime_uygun,remax dream'den 80 kredi eminevime uygun site,1,1,"{""remax dream'den 80 kredi eminevime uygun site"": 41428.57}",0.0,
armonia,armonia rezidans,1,4,"{""armonia rezidans"": 57500.0}",0.0,
remax_effect_ten_gundogdu_bayindirlik,remax effect ten gundogdu bayindirlik konutlari | remax effect ten kocaeli gundogdu bayindirlik konutlari,2,2,"{""remax effect ten kocaeli gundogdu bayindirlik konutlari"": 32916.67, ""remax effect ten gundogdu bayindirlik konutlari"": 26363.64}",6553.029999999999,
gundogdu_havuzlu_asansorlu,gundogdu havuzlu asansorlu site,1,1,"{""gundogdu havuzlu asansorlu site"": 65126.05}",0.0,
almira,almira sitesi,1,2,"{""almira sitesi"": 32793.83}",0.0,
tarcanlardan_gundogdu_eren_life,tarcanlardan gundogdu eren life,1,2,"{""tarcanlardan gundogdu eren life"": 35153.845}",0.0,
inci,inci evleri | inci sitesi,2,5,"{""inci evleri"": 39159.29, ""inci sitesi"": 32672.415}",6486.875,
yesilova_liva_park,izmit yesilova liva park,1,1,"{""izmit yesilova liva park"": 61475.41}",0.0,
kavan_life_gundogdu,kavan life gundogdu,1,3,"{""kavan life gundogdu"": 45500.0}",0.0,
tarcanlar_dan_gundogdu_eren_life,tarcanlar'dan gundogdu eren life,1,1,"{""tarcanlar'dan gundogdu eren life"": 33125.0}",0.0,
kavanya_koru,izmit kavanya koru sitesi | kavanya koru | kavanya koru sitesi,3,41,"{""kavanya koru"": 47029.7, ""kavanya koru sitesi"": 48608.7, ""izmit kavanya koru sitesi"": 32916.67}",15692.029999999999,possible_bad_merge
kabaoglu_havuzlu,izmit kabaoglu satilik havuzlu site,1,1,"{""izmit kabaoglu satilik havuzlu site"": 57500.0}",0.0,
guney_park_cayirkoy,guney park cayirkoy,1,2,"{""guney park cayirkoy"": 48750.0}",0.0,
toki_arizli,toki arizli konutlari,1,47,"{""toki arizli konutlari"": 32222.22}",0.0,
yildizlar_tepesi,yildizlar tepesi,1,15,"{""yildizlar tepesi"": 50000.0}",0.0,
akademic_life_2,akademic life 2. etap,1,3,"{""akademic life 2. etap"": 37058.82}",0.0,
kiptas_cinar,kiptas cinar evleri,1,6,"{""kiptas cinar evleri"": 43888.545}",0.0,
cef_city_golpark,cef city golpark,1,2,"{""cef city golpark"": 39243.97}",0.0,
sekbanli_toki,sekbanli toki konutlari,1,16,"{""sekbanli toki konutlari"": 36872.28}",0.0,
sepetci_toki,izmit sepetci toki konutlari | sepetci toki konutlari,2,8,"{""sepetci toki konutlari"": 41500.0, ""izmit sepetci toki konutlari"": 40560.75}",939.25,
golkent_turkuaz,golkent turkuaz evleri,1,6,"{""golkent turkuaz evleri"": 41347.729999999996}",0.0,
mk_teras,mk teras,1,2,"{""mk teras"": 47500.0}",0.0,
golpark_star_life,golpark star life,1,3,"{""golpark star life"": 33805.97}",0.0,
semt,semt kocaeli | semt kocaeli sitesi,2,7,"{""semt kocaeli sitesi"": 56836.22, ""semt kocaeli"": 65000.0}",8163.779999999999,possible_bad_merge
yesilova_konaklari,yesilova konaklari,1,1,"{""yesilova konaklari"": 37647.06}",0.0,
aslantas_plus,aslantas plus,1,1,"{""aslantas plus"": 55128.21}",0.0,
arizli_toki,izmit arizli toki konutlari,1,1,"{""izmit arizli toki konutlari"": 29230.77}",0.0,
toki_konutlari_185_ada,toki konutlari 185. ada,1,1,"{""toki konutlari 185. ada"": 36560.0}",0.0,
terrace,terrace,1,1,"{""terrace"": 54166.67}",0.0,
avlu,avlu residence,1,1,"{""avlu residence"": 71052.63}",0.0,
tepe,tepe residence,1,1,"{""tepe residence"": 44990.0}",0.0,
anakent,anakent sitesi,1,2,"{""anakent sitesi"": 35434.03}",0.0,
esyali,arakat satilik daire esyali site | esyali satilik site | kocaeli izmit satilik esyali rezidans,3,3,"{""kocaeli izmit satilik esyali rezidans"": 61818.18, ""arakat satilik daire esyali site"": 27600.0, ""esyali satilik site"": 50000.0}",34218.18,possible_bad_merge
manzara,manzara evleri | manzara izmit evleri,2,2,"{""manzara izmit evleri"": 51546.39, ""manzara evleri"": 32692.31}",18854.079999999998,possible_bad_merge
kavan_try,kavan try,1,1,"{""kavan try"": 47916.67}",0.0,
asayra_dan_bayindirlik_kalici,asayra dan bayindirlik kalici konutlari,1,1,"{""asayra dan bayindirlik kalici konutlari"": 45500.0}",0.0,
mk_royal,mk royal,1,3,"{""mk royal"": 53846.15}",0.0,
doga_park,doga park evleri | doga park evleri sitesi,2,3,"{""doga park evleri"": 36585.37, ""doga park evleri sitesi"": 34062.5}",2522.8700000000026,
zeray_dora_hill,zeray dora hill,1,8,"{""zeray dora hill"": 51224.79}",0.0,
