county,group,feature,non_null_count,positive_count,positive_rate,missing_rate,reliability_status
Gölcük,front,front_east,521,202,0.3877159309021113,0.0,ok
Gölcük,front,front_north,521,166,0.31861804222648754,0.0,ok
Gölcük,front,front_south,521,217,0.4165067178502879,0.0,ok
Gölcük,front,front_west,521,179,0.3435700575815739,0.0,ok
Gölcük,inside,in_air_conditioner,521,17,0.03262955854126679,0.0,ok
Gölcük,inside,in_builtin_kitchen,521,101,0.19385796545105566,0.0,ok
Gölcük,inside,in_dressing_room,521,8,0.015355086372360844,0.0,ok
Gölcük,inside,in_fiber,521,117,0.22456813819577734,0.0,ok
Gölcük,inside,in_glass_balcony,521,32,0.061420345489443376,0.0,ok
Gölcük,inside,in_heat_glass,521,168,0.32245681381957775,0.0,ok
Gölcük,inside,in_intercom,521,120,0.23032629558541268,0.0,ok
Gölcük,inside,in_laminate_floor,521,206,0.39539347408829173,0.0,ok
Gölcük,inside,in_pantry,521,29,0.05566218809980806,0.0,ok
Gölcük,inside,in_parent_bathroom,521,71,0.1362763915547025,0.0,ok
Gölcük,inside,in_pvc,521,149,0.28598848368522073,0.0,ok
Gölcük,inside,in_smart_home,521,7,0.013435700575815739,0.0,ok
Gölcük,inside,in_steel_door,521,259,0.4971209213051823,0.0,ok
Gölcük,inside,in_terrace,521,89,0.1708253358925144,0.0,ok
Gölcük,nearby,near_city_center,521,184,0.3531669865642994,0.0,ok
Gölcük,nearby,near_hospital,521,267,0.5124760076775432,0.0,ok
Gölcük,nearby,near_lake_zero,521,2,0.003838771593090211,0.0,ok
Gölcük,nearby,near_mall,521,99,0.19001919385796545,0.0,ok
Gölcük,nearby,near_market,521,288,0.5527831094049904,0.0,ok
Gölcük,nearby,near_mosque,521,276,0.5297504798464492,0.0,ok
Gölcük,nearby,near_park,521,247,0.4740882917466411,0.0,ok
Gölcük,nearby,near_pharmacy,521,240,0.46065259117082535,0.0,ok
Gölcük,nearby,near_school,521,290,0.5566218809980806,0.0,ok
Gölcük,nearby,near_sea_zero,521,8,0.015355086372360844,0.0,ok
Gölcük,nearby,near_university,521,61,0.11708253358925144,0.0,ok
Gölcük,outside,out_camera,521,81,0.15547024952015356,0.0,ok
Gölcük,outside,out_children_playground,521,55,0.10556621880998081,0.0,ok
Gölcük,outside,out_closed_pool,521,1,0.0019193857965451055,0.0,ok
Gölcük,outside,out_generator,521,1,0.0019193857965451055,0.0,ok
Gölcük,outside,out_heat_insulation,521,216,0.4145873320537428,0.0,ok
Gölcük,outside,out_hydrofor,521,9,0.01727447216890595,0.0,ok
Gölcük,outside,out_open_pool,521,37,0.0710172744721689,0.0,ok
Gölcük,outside,out_pool,521,38,0.07293666026871401,0.0,ok
Gölcük,outside,out_sauna_hamam,521,6,0.011516314779270634,0.0,ok
Gölcük,outside,out_security,521,27,0.05182341650671785,0.0,ok
Gölcük,outside,out_sound_insulation,521,148,0.2840690978886756,0.0,ok
Gölcük,outside,out_sports_area,521,25,0.04798464491362764,0.0,ok
Gölcük,subtype,subtype_duplex,521,271,0.5201535508637236,0.0,unmapped_extra
Gölcük,subtype,subtype_garden_duplex,521,83,0.15930902111324377,0.0,unmapped_extra
