feature,present,non_null_rate,mean,std,min,max,mode
bsk_district_similar_10_median,True,1.0,40115.865163220886,4763.123826350091,29354.165,65454.55,39069.265
bsk_district_similar_20_median,True,1.0,40000.45270946681,4191.373046203731,29354.165,65454.55,33627.945
bsk_district_similar_20_std,True,1.0,6743.703740283697,1859.080163920268,882.8133882209903,12639.046411185458,4365.812984499247
bsk_district_similar_count,True,1.0,18.82480957562568,3.6345585182715725,3.0,20.0,20.0
bsk_district_similar_confidence,True,1.0,0.941240478781284,0.18172792591357861,0.15,1.0,1.0
bsk_cluster_similar_10_median,True,1.0,39922.99627856365,4284.375559291592,30553.86,55000.0,42750.0
bsk_cluster_similar_20_median,True,1.0,39811.76260609358,3438.7731189855026,32405.300000000003,50654.76,42803.57
bsk_cluster_similar_std,True,1.0,7081.551450380264,1716.9720516313034,3472.4401468913393,15251.962762556366,4558.48592520617
bsk_cluster_similar_count,True,1.0,19.893362350380848,0.8578418926502451,13.0,20.0,20.0
bsk_cluster_similar_confidence,True,1.0,0.9946681175190425,0.042892094632512257,0.65,1.0,1.0
bsk_comparable_missing,True,1.0,0.0,0.0,0.0,0.0,0.0
bsk_fallback_level,True,1.0,0.015233949945593036,0.1739792036152312,0.0,2.0,0.0
