county,site_project_id,n_listings,known_premium
İzmit,missing,1533,0
Başiskele,missing,1231,0
Gölcük,missing,934,0
Kartepe,missing,663,0
Karamürsel,missing,274,0
İzmit,izmit::toki_arizli,47,0
İzmit,izmit::kavanya_koru_sitesi,29,0
Başiskele,basiskele::zeray_gunesi,28,1
Başiskele,basiskele::evimiz_kocaeli,20,1
Başiskele,basiskele::bahcekent_konutlari,20,0
İzmit,izmit::yildiz_konutlari,18,0
Kartepe,kartepe::mahal_kartepe,17,0
İzmit,izmit::izmitkent_konutlari_3,17,0
İzmit,izmit::sekbanli_toki,16,0
Başiskele,basiskele::zeray_perla,16,1
Başiskele,basiskele::altin_vadi,16,0
İzmit,izmit::tuana_evleri_2,15,0
Gölcük,golcuk::mavi_sehir,15,0
İzmit,izmit::yildizlar_tepesi,15,0
Kartepe,kartepe::zeray_esil,14,0
Kartepe,kartepe::480,14,0
İzmit,izmit::jasmine_country,13,0
Başiskele,basiskele::yuvana_evleri,12,0
İzmit,izmit::kavanium_833_ada,12,0
Kartepe,kartepe::forum_anatolia,12,0
İzmit,izmit::yuvam_akarca,12,0
Başiskele,basiskele::royal_city_akkurt,11,0
Başiskele,basiskele::royal_country,11,0
İzmit,izmit::kavanya_koru,11,0
İzmit,izmit::tuana_evleri_3,11,0
İzmit,izmit::diamond_prestige_2,11,0
İzmit,izmit::izmitkent_konutlari_5,10,0
İzmit,izmit::akcakoca,10,0
İzmit,izmit::yahya_kaptan,10,0
Başiskele,basiskele::ustpark_afraze,10,0
İzmit,izmit::yuvam_turgut_toplu,10,0
Başiskele,basiskele::kirazli_kent,10,0
Karamürsel,karamursel::gazanferkent_konaklari,10,0
İzmit,izmit::kent_konutlari_2,9,0
İzmit,izmit::akcakent_2,9,0
İzmit,izmit::izmitkent_konutlari_2,9,0
Gölcük,golcuk::vadi_degirmendere,9,0
Başiskele,basiskele::yakamoz_konutlari,8,0
Başiskele,basiskele::ustgrup_mezire,8,1
Başiskele,basiskele::orka_life_2,8,1
İzmit,izmit::vadi_izmit_sitesi,8,0
Başiskele,basiskele::mamik_reform,8,0
İzmit,izmit::zeray_dora_hill,8,0
İzmit,izmit::sepetci_toki,8,0
Başiskele,basiskele::zeraykent_yuvacik,7,0
İzmit,izmit::saray_evleri_anemon,7,0
Gölcük,golcuk::toki_sivritepe,7,0
Kartepe,kartepe::dorukpark,7,0
Kartepe,kartepe::beykoz_evleri_1,7,0
Gölcük,golcuk::kavanium,7,0
İzmit,izmit::semt,7,0
İzmit,izmit::tuana,7,0
İzmit,izmit::bagcesme_modern,7,0
İzmit,izmit::dorukkent,7,0
İzmit,izmit::kiptas_cinar,6,0
İzmit,izmit::myra_sitesi_3,6,0
İzmit,izmit::kent,6,0
İzmit,izmit::vesta_park,6,0
Kartepe,kartepe::emar_delux,6,0
Kartepe,kartepe::eksioglu_kardelen,6,0
Başiskele,basiskele::zeray_korupark,6,1
Gölcük,golcuk::true_life,6,0
İzmit,izmit::golkent_turkuaz,6,0
İzmit,izmit::maykon_smart_plus,6,0
Kartepe,kartepe::gate_41_masukiye,6,0
Kartepe,kartepe::karcity,6,0
Kartepe,kartepe::kartepe_konaklari,5,0
